125. 	239030 	Papers, Please 	19,338 	782 	95.80% 	96.11%
126. 	410980 	Master of Orion 2 	231 	3 	95.77% 	98.72%
127. 	200900 	Cave Story+ 	4,538 	168 	95.77% 	96.43%
128. 	203160 	Tomb Raider 	65,515 	2,785 	95.75% 	95.92%
129. 	242680 	Nuclear Throne 	7,974 	312 	95.74% 	96.23%
130. 	391540 	Undertale 	78,657 	3,372 	95.73% 	95.89%
131. 	410890 	Higurashi When They Cry Hou - Ch.2 Watanagashi 	193 	2 	95.73% 	98.97%
132. 	530350 	Smashbox Arena 	328 	6 	95.72% 	98.20%
133. 	283960 	Pajama Sam in No Need to Hide When It's Dark Outside 	478 	11 	95.69% 	97.75%
134. 	339800 	HuniePop 	12,339 	505 	95.67% 	96.07%
135. 	4000 	Garry's Mod 	279,830 	12,402 	95.67% 	95.76%
136. 	291860 	Pit People 	3,189 	117 	95.67% 	96.46%
137. 	257510 	The Talos Principle 	12,785 	524 	95.67% 	96.06%
138. 	265890 	Hexcells 	2,792 	101 	95.66% 	96.51%
139. 	261030 	The Walking Dead: Season Two 	18,952 	792 	95.66% 	95.99%
140. 	200260 	Batman: Arkham City GOTY 	20,399 	858 	95.65% 	95.96%
141. 	70300 	VVVVVV 	5,950 	234 	95.63% 	96.22%
142. 	240 	Counter-Strike: Source 	61,877 	2,708 	95.63% 	95.81%
143. 	35700 	Trine 	7,696 	309 	95.63% 	96.14%
144. 	303310 	The House in Fata Morgana 	188 	2 	95.62% 	98.95%
145. 	458710 	Kingdom Rush Frontiers 	1,323 	43 	95.61% 	96.85%
146. 	324680 	Impossible Creatures 	525 	13 	95.60% 	97.58%
147. 	453340 	Hustle Cat 	407 	9 	95.58% 	97.84%
148. 	428550 	Momodora: Reverie Under the Moonlight 	3,100 	116 	95.58% 	96.39%
149. 	428080 	Racket: Nx 	185 	2 	95.55% 	98.93%
150. 	346010 	Besiege 	20,483 	886 	95.54% 	95.85%
151. 	282140 	SOMA 	9,846 	411 	95.54% 	95.99%
152. 	434570 	Blood and Bacon 	10,714 	449 	95.54% 	95.98%
153. 	224820 	Super House of Dead Ninjas 	1,073 	34 	95.54% 	96.93%
154. 	353270 	Hyperdimension Neptunia Re;Birth3 V Generation 	1,929 	69 	95.51% 	96.55%
155. 	330830 	Tales from the Borderlands 	11,753 	499 	95.51% 	95.93%
156. 	265610 	Epic Battle Fantasy 4 	1,687 	59 	95.51% 	96.62%
157. 	355980 	Dungeon Warfare 	457 	11 	95.50% 	97.65%
158. 	461840 	Zenge 	1,598 	56 	95.47% 	96.61%
159. 	12900 	Audiosurf 	8,442 	356 	95.46% 	95.95%
160. 	318130 	Doom & Destiny 	1,151 	38 	95.45% 	96.80%
161. 	439490 	BLUE REVOLVER 	145 	1 	95.45% 	99.32%
162. 	377860 	Mushihimesama 	637 	18 	95.42% 	97.25%
163. 	24980 	Mass Effect 2 	8,825 	377 	95.41% 	95.90%
164. 	248310 	Freedom Planet 	3,088 	121 	95.40% 	96.23%
165. 	201790 	Orcs Must Die! 2 	12,174 	531 	95.40% 	95.82%
166. 	1250 	Killing Floor 	48,087 	2,210 	95.40% 	95.61%
167. 	405640 	Pony Island 	6,505 	274 	95.39% 	95.96%
168. 	22380 	Fallout: New Vegas 	47,921 	2,204 	95.39% 	95.60%
169. 	433340 	Slime Rancher 	10,812 	471 	95.38% 	95.83%
170. 	362680 	Fran Bow 	2,731 	106 	95.38% 	96.26%
171. 	8870 	BioShock Infinite 	63,879 	2,964 	95.38% 	95.57%
172. 	260230 	Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™ 	13,321 	590 	95.36% 	95.76%
173. 	239820 	Game Dev Tycoon 	23,165 	1,061 	95.32% 	95.62%
174. 	305760 	Redirection 	102 	0 	95.31% 	100%
175. 	469790 	Linelight 	175 	2 	95.31% 	98.87%
176. 	333600 	NEKOPARA Vol. 1 	11,944 	534 	95.30% 	95.72%
177. 	342560 	Airships: Conquer the Skies 	983 	33 	95.26% 	96.75%
178. 	310360 	Higurashi When They Cry Hou - Ch.1 Onikakushi 	1,052 	36 	95.25% 	96.69%
179. 	451760 	Highway Blossoms 	430 	11 	95.23% 	97.51%
180. 	219890 	Antichamber 	10,410 	471 	95.21% 	95.67%
181. 	282070 	This War of Mine 	29,628 	1,406 	95.20% 	95.47%
182. 	429660 	Tales of Berseria 	2,669 	108 	95.20% 	96.11%
183. 	518580 	Accounting 	1,437 	53 	95.20% 	96.44%
184. 	230270 	N++ 	1,153 	41 	95.18% 	96.57%
185. 	78000 	Bejeweled 3 	2,042 	81 	95.14% 	96.18%
186. 	512490 	Zombie Estate 2 	168 	2 	95.12% 	98.82%
187. 	430960 	Lucy -The Eternity She Wished For- 	2,312 	94 	95.11% 	96.09%
188. 	465520 	PRICE 	2,727 	113 	95.11% 	96.02%
189. 	302380 	Floating Point 	3,017 	127 	95.10% 	95.96%
190. 	452440 	Flowers -Le volume sur printemps- 	256 	5 	95.09% 	98.08%
191. 	225080 	Brothers - A Tale of Two Sons 	26,569 	1,290 	95.08% 	95.37%
192. 	4700 	Medieval II: Total War 	7,134 	325 	95.08% 	95.64%
193. 	532110 	Rusty Lake: Roots 	780 	26 	95.06% 	96.77%
194. 	282900 	Hyperdimension Neptunia Re;Birth1 	7,276 	335 	95.04% 	95.60%
195. 	204450 	Call of Juarez Gunslinger 	10,943 	516 	95.04% 	95.50%
196. 	544180 	Orbox C 	96 	0 	95.03% 	100%
197. 	255340 	Escape Goat 2 	280 	6 	95.02% 	97.90%
198. 	237930 	Transistor 	17,383 	843 	95.01% 	95.37%
199. 	312530 	Duck Game 	10,195 	482 	95.01% 	95.49%
200. 	8800 	Sid Meier's Civilization IV: Beyond the Sword 	1,043 	38 	95.00% 	96.48%
201. 	495890 	Montaro 	6,605 	305 	95.00% 	95.59%
202. 	497640 	Trick & Treat 	976 	35 	95.00% 	96.54%
203. 	223470 	POSTAL 2 	24,966 	1,237 	94.98% 	95.28%
204. 	588650 	Dead Cells 	7,342 	343 	94.98% 	95.54%
205. 	41060 	Serious Sam Classic: The Second Encounter 	579 	18 	94.98% 	96.98%
206. 	260750 	Neighbours from Hell 	1,032 	38 	94.95% 	96.45%
207. 	344480 	Quell 	130 	1 	94.95% 	99.24%
208. 	523780 	Emily is Away Too 	1,269 	49 	94.93% 	96.28%
209. 	347620 	Gaokao.Love.100Days 	3,563 	159 	94.92% 	95.73%
210. 	418650 	Space Pirate Trainer 	1,157 	44 	94.92% 	96.34%
211. 	285440 	Crimzon Clover WORLD IGNITION 	868 	31 	94.91% 	96.55%
212. 	40970 	Stronghold Crusader HD 	2,674 	116 	94.91% 	95.84%
213. 	3830 	Psychonauts 	6,032 	282 	94.91% 	95.53%
214. 	630 	Alien Swarm 	16,097 	797 	94.90% 	95.28%
215. 	322190 	SteamWorld Heist 	1,432 	57 	94.89% 	96.17%
216. 	359050 	Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad 	6,924 	330 	94.87% 	95.45%
217. 	410320 	EARTH DEFENSE FORCE 4.1 The Shadow of New Despair 	2,483 	108 	94.86% 	95.83%
218. 	398850 	Epistory - Typing Chronicles 	1,145 	44 	94.86% 	96.30%
219. 	317400 	Portal Stories: Mel 	7,581 	364 	94.86% 	95.42%
220. 	304430 	INSIDE 	12,801 	635 	94.85% 	95.27%
221. 	236450 	PAC-MAN Championship Edition DX+ 	5,690 	269 	94.84% 	95.49%
222. 	296470 	Mount Your Friends 	5,447 	258 	94.82% 	95.48%
223. 	348250 	Google Earth VR 	1,134 	44 	94.82% 	96.26%
224. 	200510 	XCOM: Enemy Unknown 	33,403 	1,737 	94.79% 	95.06%
225. 	314180 	Deathsmiles 	214 	4 	94.79% 	98.17%
226. 	235980 	Tetrobot and Co. 	318 	8 	94.79% 	97.55%
227. 	406550 	Umineko 	157 	2 	94.79% 	98.74%
228. 	22330 	The Elder Scrolls IV: Oblivion 	9,785 	486 	94.78% 	95.27%
229. 	22320 	The Elder Scrolls III: Morrowind 	7,145 	348 	94.78% 	95.36%
230. 	331470 	Everlasting Summer 	21,573 	1,109 	94.78% 	95.11%
231. 	569860 	Thimbleweed Park 	1,075 	42 	94.74% 	96.24%
232. 	322770 	Vanishing Realms 	1,798 	77 	94.74% 	95.89%
233. 	250050 	Life Goes On 	505 	16 	94.74% 	96.93%
234. 	41700 	S.T.A.L.K.E.R.: Call of Pripyat 	6,197 	303 	94.72% 	95.34%
235. 	500 	Left 4 Dead 	12,287 	625 	94.72% 	95.16%
236. 	49600 	Beat Hazard 	5,594 	272 	94.71% 	95.36%
237. 	245550 	Free to Play 	10,715 	542 	94.71% 	95.19%
238. 	421660 	Harmonia 	237 	5 	94.71% 	97.93%
239. 	40800 	Super Meat Boy 	20,594 	1,076 	94.69% 	95.03%
240. 	555950 	Danganronpa Another Episode: Ultra Despair Girls 	235 	5 	94.67% 	97.92%
241. 	200710 	Torchlight II 	25,158 	1,329 	94.67% 	94.98%
242. 	315810 	eden* 	1,223 	50 	94.66% 	96.07%
243. 	588040 	WILL: A Wonderful World 	1,385 	58 	94.65% 	95.98%
244. 	449830 	Muv-Luv 	450 	14 	94.64% 	96.98%
245. 	545980 	Voodoo Vince: Remastered 	122 	1 	94.63% 	99.19%
246. 	552080 	IronWolf VR 	180 	3 	94.62% 	98.36%
247. 	57300 	Amnesia: The Dark Descent 	15,387 	808 	94.61% 	95.01%
